feature,rss,gcv,nb_subset,timestep
NAN005_wl,0.00,0.00,0.04,16
VLGE04_temp,0.00,0.00,0.04,16
CPY010_wl,0.00,0.00,0.04,16
CPY009_wl,0.00,0.00,0.04,16
CPY013_wl,0.00,0.00,0.04,16
CPY006_wl,0.82,0.82,0.03,17
PAS002_wl,0.05,0.05,0.03,17
YOM009_wl,0.02,0.02,0.03,17
DIV006_wl,0.01,0.01,0.09,17
DNP026_press,0.01,0.01,0.03,17
PAS005_wl,0.01,0.01,0.05,17
DNP004_temp,0.01,0.01,0.03,17
PAS008_wl,0.01,0.01,0.03,17
BKK005_wl,0.01,0.01,0.03,17
PAS009_wl,0.00,0.00,0.03,17
PAS007_wl,0.00,0.00,0.03,17
DNP002_temp,0.00,0.00,0.03,17
PIN001_wl,0.00,0.00,0.03,17
GLF001_wl,0.00,0.00,0.03,17
VLGE12_temp,0.00,0.00,0.03,17
PIN001_rain1h,0.00,0.00,0.03,17
KWN002_wl,0.00,0.00,0.03,17
DNP004_wl,0.00,0.00,0.03,17
CPY010_wl,0.00,0.00,0.03,17
VLGE15_press,0.00,0.00,0.03,17
DNP025_temp,0.00,0.00,0.03,17
DIV002_wl,0.00,0.00,0.03,17
DNP024_wl,0.00,0.00,0.03,17
CPY013_wl,0.00,0.00,0.03,17
NAN008_wl,0.00,0.00,0.03,17
CPY001_wl,0.76,0.76,0.03,18
NAN005_wl,0.05,0.05,0.03,18
GLF001_wl,0.05,0.05,0.03,18
YOM009_wl,0.03,0.03,0.03,18
PAS009_wl,0.02,0.02,0.03,18
NAN006_wl,0.02,0.02,0.03,18
VLGE15_press,0.02,0.02,0.03,18
DIV006_wl,0.01,0.01,0.07,18
DNP025_temp,0.01,0.01,0.03,18
PAS008_wl,0.01,0.01,0.03,18
PAS002_wl,0.01,0.01,0.03,18
YOM006_wl,0.01,0.01,0.03,18
DNP017_temp,0.00,0.00,0.03,18
PAS005_wl,0.00,0.00,0.03,18
DNP004_press,0.00,0.00,0.03,18
PIN003_wl,0.00,0.00,0.03,18
DNP006_temp,0.00,0.00,0.03,18
BKK003_wl,0.00,0.00,0.03,18
DNP002_temp,0.00,0.00,0.03,18
YOM004_wl,0.00,0.00,0.03,18
CPY008_wl,0.00,0.00,0.03,18
DNP019_temp,0.00,0.00,0.03,18
DNP020_temp,0.00,0.00,0.03,18
NAN001_wl,0.00,0.00,0.03,18
VLGE28_rain1h,0.00,0.00,0.03,18
CPY013_wl,0.00,0.00,0.03,18
NAN008_wl,0.00,0.00,0.03,18
