feature,rss,gcv,nb_subset,timestep
NAN009_wl,0.04,0.04,0.03,9
CPY017_wl,0.03,0.03,0.03,9
CPY011_wl,0.02,0.02,0.03,9
VLGE13_wl,0.02,0.02,0.03,9
PAS004_wl,0.01,0.01,0.03,9
YOM007_wl,0.01,0.01,0.03,9
DIV006_wl,0.01,0.01,0.03,9
PIN005_wl,0.01,0.01,0.03,9
NAN011_wl,0.01,0.01,0.03,9
DNP027_press,0.01,0.01,0.03,9
CHM002_wl,0.01,0.01,0.03,9
YOM005_wl,0.01,0.00,0.03,9
PAS005_wl,0.00,0.00,0.03,9
Dam_KheawNoi_Output_WaterVol,0.00,0.00,0.03,9
DNP003_temp,0.00,0.00,0.03,9
CPY001_wl,0.00,0.00,0.03,9
NAN013_wl,0.00,0.00,0.03,9
DNP013_rain,0.00,0.00,0.03,9
DNP017_press,0.00,0.00,0.03,9
BKK018_wl,0.00,0.00,0.03,9
NAN012_wl,0.00,0.00,0.03,9
NAN014_wl,0.00,0.00,0.03,9
CPY009_temp,0.00,0.00,0.03,9
VLGE12_wl,0.00,0.00,0.03,9
PAS002_wl,0.00,0.00,0.03,9
DNP018_humid,0.00,0.00,0.03,9
DNP018_press,0.00,0.00,0.03,9
PAS009_wl,0.44,0.45,0.04,10
LBI002_wl,0.20,0.20,0.04,10
DNP026_press,0.09,0.09,0.04,10
Dam_KheawNoi_Output_WaterVol,0.06,0.06,0.04,10
DNP032_wl,0.05,0.05,0.04,10
VLGE12_wl,0.04,0.04,0.04,10
PAS005_wl,0.03,0.03,0.04,10
CPY001_wl,0.01,0.01,0.04,10
Dam_SK_Output_WaterVol,0.01,0.01,0.04,10
NAN008_wl,0.01,0.01,0.04,10
DNP032_press,0.01,0.01,0.04,10
DNP017_press,0.01,0.01,0.04,10
DNP018_humid,0.01,0.01,0.04,10
DNP027_press,0.01,0.01,0.04,10
NAN009_wl,0.01,0.01,0.04,10
Dam_SK_Useable_WaterVol,0.00,0.00,0.04,10
NAN010_wl,0.00,0.00,0.04,10
DIV006_wl,0.00,0.00,0.04,10
DNP009_press,0.00,0.00,0.04,10
CPY011_wl,0.00,0.00,0.04,10
DNP019_humid,0.00,0.00,0.04,10
DNP028_humid,0.00,0.00,0.04,10
BKK020_wl,0.00,0.00,0.04,10
CHM004_wl,0.00,0.00,0.04,10
DNP005_rain,0.00,0.00,0.04,10
NAN011_wl,0.00,0.00,0.04,10
DNP017_press,0.60,0.60,0.03,11
